,gfycat_gfy_id,tournament_id,weapon,gender,fotl_name,fotr_name,left_score,right_score,touch,download_url
0,SilverOptimalGalah,cali2018,epee,,Martin Rubes,Fabian Herzberg,2,0,left,https://clips.fencingdatabase.com/cali2018/SilverOptimalGalah.mp4
0,SpecificGreenAlbino,barcelona2018,epee,female,Noemi Moeschlin,Julia Beljajeva,5,3,double,https://clips.fencingdatabase.com/barcelona2018/SpecificGreenAlbino.mp4
0,HeartfeltBossyChinchilla,berne2017,epee,male,Anton Glebko,Jiri Beran,2,3,left,https://clips.fencingdatabase.com/berne2017/HeartfeltBossyChinchilla.mp4
0,UglyWideeyedApatosaur,cali2019,epee,,Wang Zijie,Igor Reizlin,14,14,left,https://clips.fencingdatabase.com/cali2019/UglyWideeyedApatosaur.mp4
0,RespectfulInexperiencedFlycatcher,moscowsabre2012,sabre,,Bolade Apithy,Kamil Ibragimov,11,3,double,https://clips.fencingdatabase.com/moscowsabre2012/RespectfulInexperiencedFlycatcher.mp4
0,SpicyPrestigiousBordercollie,moscowsabre2012,sabre,,Chen Xiaodong,Mariel Zagunis,8,2,double,https://clips.fencingdatabase.com/moscowsabre2012/SpicyPrestigiousBordercollie.mp4
0,AbleIdealisticIndianringneckparakeet,wuxi2018,epee,male,Roman Svichkar,Peeter Turnau,3,2,right,https://clips.fencingdatabase.com/wuxi2018/AbleIdealisticIndianringneckparakeet.mp4
0,PassionateChillyCaribou,seoulsabre2019,sabre,male,Max Hartung,Iulian Teodosiu,0,1,right,https://clips.fencingdatabase.com/seoulsabre2019/PassionateChillyCaribou.mp4
0,AlarmingEnergeticAfricanfisheagle,heidenheim2019,epee,male,Jacob Hoyle,John Edison Rodriguez,4,5,double,https://clips.fencingdatabase.com/heidenheim2019/AlarmingEnergeticAfricanfisheagle.mp4
0,UnselfishPertinentBuck,doha2019,epee,,Minobe Kazuyasu,Luca Sponga,8,6,right,https://clips.fencingdatabase.com/doha2019/UnselfishPertinentBuck.mp4
0,ShoddyKaleidoscopicAtlanticblackgoby,cali2019,epee,,Sarra Besbes,Marieflorence Candassamy,9,10,double,https://clips.fencingdatabase.com/cali2019/ShoddyKaleidoscopicAtlanticblackgoby.mp4
0,SpeedyGrandioseAfricanelephant,heidenheim2017,epee,male,Federico Vismara,Kweon Youngjun,15,13,left,https://clips.fencingdatabase.com/heidenheim2017/SpeedyGrandioseAfricanelephant.mp4
0,AppropriateHospitableAmurstarfish,budapestwch2019,epee,male,Andrea Santarelli,Adam Rodney,8,6,left,https://clips.fencingdatabase.com/budapestwch2019/AppropriateHospitableAmurstarfish.mp4
0,ShallowAncientCrownofthornsstarfish,cairosabre2019,sabre,female,Qian Jiarui,Ma Yingjia,14,15,right,https://clips.fencingdatabase.com/cairosabre2019/ShallowAncientCrownofthornsstarfish.mp4
0,MetallicRevolvingIvorygull,barcelona2016,epee,female,Kang Young Mi,Alena Komarova,11,6,double,https://clips.fencingdatabase.com/barcelona2016/MetallicRevolvingIvorygull.mp4
0,IllinformedObviousDuiker,budapestwch2019,epee,male,Siklosi Gergely,Park Sangyoung,4,4,right,https://clips.fencingdatabase.com/budapestwch2019/IllinformedObviousDuiker.mp4
0,SpottedShadowyAnnelida,qatar2020,epee,,Son Minseong,Igor Reizlin,5,11,right,https://clips.fencingdatabase.com/qatar2020/SpottedShadowyAnnelida.mp4
0,ImmenseLeadingHypsilophodon,seoulsabre2019,sabre,male,Mohab Samer,Ali Pakdaman,9,13,left,https://clips.fencingdatabase.com/seoulsabre2019/ImmenseLeadingHypsilophodon.mp4
